"region","celltype","contrast","full_estimate","full_p_adj","min_loo_estimate","max_loo_estimate","max_abs_delta","n_loo","any_sig_flip","any_direction_flip"
"Capillaries","ExNeuron11","AD_Amyloid_vs_Control",0.895945392035611,0.00130782001934321,0.564394709843482,1.1111620332687,0.331550682192129,4,TRUE,FALSE
"Parenchyma","OPC1","AD_Amyloid_vs_Control",0.636677940855494,0.000643308824186433,0.444942242243158,0.967973866947535,0.331295926092041,4,TRUE,FALSE
"Capillaries","Oligodendrocytes4","AD_Amyloid_vs_Control",0.922407077442093,0.000173988951517392,0.593202009207559,1.22019664491071,0.329205068234534,4,FALSE,FALSE
"Arteries","Oligodendrocytes6","AD_Amyloid_vs_Control",0.622543782756932,0.0251265982760904,0.294435635812418,0.808332772725518,0.328108146944513,4,TRUE,FALSE
"Parenchyma","ExNeuron10","AD_Amyloid_vs_Control",0.556802648064822,0.00837828991947207,0.245542273666907,0.855430972813763,0.311260374397915,4,TRUE,FALSE
"Arteries","Endothelial","AD_Amyloid_vs_Control",0.479246573245717,0.0834266486128399,0.236665942362,0.789588589397336,0.310342016151619,4,TRUE,FALSE
"Arteries","OPC1","AD_Amyloid_vs_Control",0.973628002047592,7.92884368333352e-08,0.785799712464539,1.27991162552627,0.306283623478678,4,FALSE,FALSE
"Arteries","ExNeuron2","AD_Amyloid_vs_Control",1.06255274882556,9.47754954691074e-07,0.799670579088921,1.36789999524777,0.305347246422214,4,FALSE,FALSE
"Capillaries","Astrocytes1","AD_Amyloid_vs_Control",1.11201986964384,0.00132640945812753,0.807870121928056,1.31925313939083,0.304149747715787,4,TRUE,FALSE
"Capillaries","Oligodendrocytes3","AD_Amyloid_vs_Control",0.991744219380237,0.000258782837893675,0.687765988520623,1.2723617199349,0.303978230859614,4,FALSE,FALSE
"Arteries","Pericytes","AD_Amyloid_vs_Control",0.540730629177162,0.0445839946988555,0.262177098515411,0.840925798614314,0.300195169437153,4,TRUE,FALSE
"Parenchyma","Microglia2","AD_Amyloid_vs_Control",0.483542799459881,0.0240332209648811,0.311028294021205,0.781400934082297,0.297858134622416,4,TRUE,FALSE
"Capillaries","SMC","AD_Amyloid_vs_Control",1.11654818866468,9.2138519443549e-06,0.820635070012077,1.26849447485521,0.295913118652605,4,FALSE,FALSE
"Parenchyma","ExNeuron9","AD_Amyloid_vs_Control",0.620609443219458,0.0174257898973503,0.328746144898033,0.7655333394376,0.291863298321425,4,TRUE,FALSE
"Arteries","OPC3","AD_Amyloid_vs_Control",0.995930382567952,7.92884368333352e-08,0.761661238603545,1.2874277841852,0.291497401617247,4,FALSE,FALSE
"Parenchyma","ExNeuron7","AD_Amyloid_vs_Control",0.73325103275285,0.00482053485336782,0.525633027467019,1.02438920629312,0.291138173540266,4,TRUE,FALSE
"Arteries","OPC2","AD_Amyloid_vs_Control",0.861973873825624,4.30084359433309e-06,0.680351294280193,1.15284365170083,0.290869777875206,4,FALSE,FALSE
"Arteries","Oligodendrocytes1","AD_Amyloid_vs_Control",0.422784859572952,0.107952076582119,0.137570901774149,0.536788040589183,0.285213957798803,4,FALSE,FALSE
"Parenchyma","ExNeuron14","AD_Amyloid_vs_Control",0.875036571360626,2.2201376951449e-05,0.594320787657796,1.13509085554197,0.28071578370283,4,FALSE,FALSE
"Capillaries","ExNeuron6","AD_Amyloid_vs_Control",0.570230825217824,0.067451041986236,0.312456853969583,0.849259454805071,0.279028629587247,4,TRUE,FALSE
"Arteries","VLMC2","AD_Amyloid_vs_Control",0.70760017153678,0.00249660648006118,0.428587915850816,0.889852784994534,0.279012255685964,4,TRUE,FALSE
