ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,celltype,abs_abundance
2509_E_004,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_E 004,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Astrocytes1,2.3758955
2509_E_005,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_E 005,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Capillaries,Astrocytes1,3.1883376
2509_F_001,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_F,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes1,0.42506456
2509_F_002,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_F 002,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes1,0.9751168
2509_F_003,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_F 003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes1,2.0085025
2509_F_004,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_F 004,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes1,1.5038168
2509_F_005,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_F 005,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes1,0.5487956
2509_F_006,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_F 006,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes1,1.9809202
2509_F_007,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2509_F 007,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Astrocytes1,0.50867254
2613_B_001,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_B,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Astrocytes1,0.016964845
2613_B_002,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_B 002,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Astrocytes1,0.015484824
2613_B_003,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_B 003,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Astrocytes1,0.006068376
2613_B_004,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_B 004,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Astrocytes1,0.017399441
2613_B_005,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_B 005,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Astrocytes1,0.009891233
2613_B_006,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_B 006,BRC 2613 BRC 2509,AD-CAA,Amyloid,Capillaries,Astrocytes1,0.031940546
2613_C_001,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_C,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.08483149
2613_C_002,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_C 002,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.04902383
2613_C_003,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_C 003,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Astrocytes1,0.023206025
