"","Astrocytes1","Astrocytes2","Astrocytes3","Astrocytes4","Astrocytes5","Endothelial","ExNeuron1","ExNeuron10","ExNeuron11","ExNeuron12","ExNeuron13","ExNeuron14","ExNeuron2","ExNeuron3","ExNeuron4","ExNeuron5","ExNeuron6","ExNeuron7","ExNeuron8","ExNeuron9","Fibroblast","InhNeuron1","InhNeuron2","InhNeuron3","InhNeuron4","InhNeuron5","Microglia1","Microglia2","Microglia3","Microglia4","Microglia5","OPC1","OPC2","OPC3","Oligodendrocytes1","Oligodendrocytes2","Oligodendrocytes3","Oligodendrocytes4","Oligodendrocytes5","Oligodendrocytes6","Oligodendrocytes7","Oligodendrocytes8","Pericytes","SMC","VLMC1","VLMC2"
"ExNeuron13",0.391651904630687,0.285288264290744,0.392372729380169,0.4678038901792,0.169396440490406,0.0930834940755029,0.423947302812004,0.304853757430225,0.262263862098527,0.268469603327691,0.308834039724092,0.350080261736365,0.232288399882778,0.340280894207596,0.282560677435299,0.218216571096152,0.248664418463261,0.354223254471257,0.364757443346586,0.284184282696269,0.264779750423178,0.223332327327918,0.292757198406137,0.253540482970078,0.333097140757653,0.225720496704239,0.240789583032625,0.137587424057526,0.24368162990373,0.207029790882092,0.19855310177713,0.229690281550298,0.299673266936976,0.231492343424005,0.145931145490253,-0.125167193726025,0.105166056502513,0.160951243728868,0.2078275969155,0.0681730504271149,-0.0599010615544096,0.0593971840596255,0.223732979919257,0.0295599382400154,0.221687727171331,0.178737419464893
"ExNeuron14",0.260148626365215,0.114027652027101,0.242446430211655,0.355168024773977,-0.0240207849466598,-0.0909595104690172,0.570607146137595,0.146377287022093,0.108189321471217,0.116366833313651,0.116485804388808,0.171775861993553,0.0725434878645129,0.151242854081102,0.118142651567838,0.0409321733653505,0.060345453511615,0.223976170793476,0.258346564491508,0.124964243068404,0.0755265126166201,0.0723265406098142,0.122635559229662,0.126916768360692,0.184598494491027,0.0746972142397879,0.0654507122955731,-0.0381451009723261,0.0593202027757002,0.00991921339124425,-0.01653435508492,0.0154741128563118,0.0828834739553946,0.0572067166170225,-0.0342697931565388,-0.225011918977199,-0.00985622870439624,0.0136510560869889,0.07074667471471,-0.0761668569329082,-0.199284423974421,-0.0454198323032713,0.0206546033495606,-0.200304425986432,0.0233664440332944,-0.00979324401754823
"ExNeuron2",0.393436470758047,0.444319349858066,0.45598376394739,0.341489850280151,0.405303835504993,0.463757124049216,-0.232115191993946,0.404474537128161,0.491633096703364,0.395168549646367,0.437426025797478,0.405910937903222,0.433708179698811,0.439789701128913,0.378969238103986,0.451053462626899,0.491928774816623,0.387255223573769,0.342676061882455,0.419442148127736,0.490649835758681,0.488144444881838,0.398818162334282,0.408573790497185,0.41432989104524,0.390455195580574,0.434054595476475,0.479109641468418,0.412195409990946,0.410452833654818,0.49357337497321,0.479426314477293,0.506926128584988,0.47074667471471,0.331368561018602,0.140035078971425,0.346845298236866,0.406166375799884,0.330077374938218,0.344765053996247,0.241282963079601,0.22784273073609,0.495868816893893,0.479216365521133,0.458574883981332,0.522878750103881
"ExNeuron3",0.0329313685610186,-0.172578916750865,-0.0789976686917993,0.122212162168073,-0.287935370712995,-0.343027726384023,0.911135605155996,-0.0732940553827851,-0.153225122142179,-0.159394122304015,-0.129518385842442,-0.0338813875876428,-0.124731549641993,-0.113205351948807,-0.138003822820577,-0.21870295284459,-0.194501086923242,-0.0466322875250955,0.122399366653982,-0.165561372891216,-0.206081521430102,-0.184372799363155,-0.132639626990688,-0.0982709828672904,-0.0759849011709028,-0.154306359266403,-0.169022031518587,-0.393432971608778,-0.195284896359573,-0.288283536065294,-0.326076097748735,-0.263002182594357,-0.183314306709181,-0.266737524439371,-0.360861140635183,-0.561896014031589,-0.428783127102223,-0.279885577818893,-0.294674732205732,-0.430298258735845,-0.540103312382177,-0.448663543675944,-0.256261071526985,-0.468220288942251,-0.228791000188079,-0.312779330525266
"ExNeuron4",0.0426555043804975,-0.168231223783718,-0.0594759149181855,0.13659541523967,-0.283549187103885,-0.333996422119872,0.912153857593373,-0.064437708582101,-0.16023566770329,-0.156363859036772,-0.137568178736545,-0.0479917070162317,-0.137389722123809,-0.10757172162518,-0.125978996356511,-0.215574713397805,-0.215975365989144,-0.0330853311288693,0.127191451578335,-0.175971341967484,-0.197536598914389,-0.184386795960232,-0.150336574420344,-0.0848989839345309,-0.0749614000096226,-0.163068229036815,-0.189483306871017,-0.395905120567562,-0.213758654927021,-0.287772660271971,-0.313872814671933,-0.260216859775967,-0.185356060307838,-0.258028141907999,-0.361791914340826,-0.542718926461004,-0.405204109750817,-0.264702769139253,-0.266461091647093,-0.420570623767097,-0.538362485620683,-0.428296745353786,-0.247507949629746,-0.473483009443329,-0.22734060281594,-0.319210766882302
"ExNeuron5",0.455437896661374,0.389972312981406,0.46378861639264,0.485019704584323,0.316262733622888,0.362437507381018,0.122080944070473,0.409037427775372,0.486697546658969,0.350928805434179,0.416704063824483,0.448289134704125,0.427483193148666,0.424843085024953,0.374971460063772,0.422857317814606,0.497432936617285,0.395873628224138,0.455677588386324,0.419667843255608,0.417015488109453,0.411952219116727,0.424706618203449,0.4113048765019,0.429909853166949,0.386389184129608,0.402576248649547,0.38716949441667,0.381537613667677,0.369129630358619,0.408395333884449,0.401391786621878,0.455009250875881,0.370891452015729,0.255699458069257,-0.0488420002886798,0.216243050908248,0.320577184671977,0.272435889024481,0.197632825519296,0.08317040419548,0.107536730132487,0.404619751822838,0.321105556211646,0.415411128169464,0.406876703101558
"ExNeuron6",0.170566905920998,-0.0784657980028605,0.0553679136759875,0.258425295350068,-0.184542508102717,-0.201681341223915,0.794998840906805,0.00913190480564413,0.0155930839314692,-0.056195462478185,-0.0282407589654765,0.0723650312517769,0.0273537246257004,-0.0259715606643135,-0.0450821643987805,-0.0997178810901599,0.0116880333468925,0.0195471226058165,0.238243951939185,-0.031290267553701,-0.0902421848688038,-0.0484990836602851,-0.020558376744654,0.00350527278055523,0.0366702095553019,-0.035513740721787,-0.0463785992030687,-0.191504065574057,-0.0738801628853985,-0.158808014801401,-0.158912989279481,-0.114961924882013,-0.0268638437279936,-0.133901070302283,-0.237519628040433,-0.509417522864754,-0.302252139948475,-0.190186635874153,-0.192321116928447,-0.35633149190603,-0.441500785121617,-0.37660906192182,-0.103078813963355,-0.28205155121661,-0.0957026073035993,-0.155851233668814
"ExNeuron7",0.237260690994502,0.041838453026108,0.187074142599081,0.336816736430955,-0.0265016817786176,-0.122880499678516,0.694840941796026,0.134935068911371,0.0770836340414737,0.087708800797806,0.116118393715528,0.153134144261176,0.0851124320399603,0.109793681411207,0.0922629435718441,0.0376289764550993,0.0228870605833957,0.268035708818294,0.35916930196346,0.114158870124701,0.0556093549755716,0.0484903357871118,0.118532806711368,0.142463488564343,0.157327874660473,0.0674154846103041,0.0468457356305248,-0.0668258779584213,0.0192689402389044,-0.0442266224024284,-0.03725806663255,-0.0435740310636976,0.054398649328382,-0.00878723860261474,-0.0691580609464324,-0.284530698473933,-0.0895808456568997,0.0212809510687714,0.033202552629392,-0.119043682504691,-0.198126205566272,-0.122392368355444,0.000188079273226697,-0.243158507087964,0.0130684477336448,-0.0452028850485726
"ExNeuron8",0.343899014552087,0.15931364187082,0.296760225170255,0.416390889964877,0.0702655416901766,0.035408766243707,0.64509878535781,0.250155056051997,0.191901219016127,0.179620954655399,0.203306696059521,0.267185415545845,0.190554046547433,0.224539533825839,0.193010449334506,0.126260677872692,0.161374640790458,0.299744999496997,0.45703350872819,0.200470635576725,0.166679351082768,0.182985386677864,0.197652070840277,0.251395504467976,0.270399384149729,0.174436965012881,0.135633149190603,0.0778167058133991,0.125916011669663,0.0750628753384333,0.0773145778932497,0.107841156118919,0.190389586531774,0.134796852515232,0.0347509261810722,-0.250749911427784,-0.0579310405157746,0.0912481902837372,0.0949310448897112,-0.054167705476606,-0.186209852729555,-0.137359979355019,0.126467127679583,-0.0947578370008791,0.150004155239757,0.0745257559255906
"ExNeuron9",0.337100167521771,0.111100613663303,0.253953382583859,0.363158332130501,0.0585766335559667,0.000532745476256085,0.593404103627306,0.225421319441711,0.183508509493629,0.166534136388091,0.184649232155432,0.249049324882888,0.194732030775018,0.19818919025312,0.183298560537469,0.127406649258399,0.169324707930384,0.270527103098059,0.435965130977531,0.210493948658732,0.17378437367415,0.162872276677733,0.211300502565314,0.245849352876082,0.242495418301425,0.181354783118354,0.13144466751521,0.0580955005314333,0.106546470889265,0.0479917070162317,0.0924536472070228,0.087735044417326,0.165228953710629,0.131581134336714,0.0145993255389783,-0.258325569595892,-0.101890852786416,0.0524863642526911,0.0366457155104165,-0.0903174165780944,-0.158911239704847,-0.143870146570615,0.0849969601140723,-0.0807140014084076,0.123818271682697,0.0671512988404694
