gene,panel,category,headline,source,MatrisomeDivision,MatrisomeCategory
EGLN1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
EGLN2,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
EGLN3,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
F12,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
F7,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
FAM20C,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
HTRA1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
HYAL2,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ITIH4,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ITIH5,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
KNG1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
LOXL2,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
LOXL4,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
MASP2,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
MMP28,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
NGLY1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
OGFOD2,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
P4HA1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
P4HA2,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
P4HTM,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
PCSK6,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
PLAT,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
PLOD1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
PLOD3,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
PRSS3,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
SERPINA1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
SERPINA3,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
SERPINB1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
SERPINB6,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
SERPINB7,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
SERPIND1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
SERPINE2,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
SERPINF1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
SERPING1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
SERPINH1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
SERPINI1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
TIMP1,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
TIMP2,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
TIMP3,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
TIMP4,Matrisome_Biomarkers,ECM Regulators,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM Regulators
ANXA1,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
ANXA11,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
ANXA2,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
ANXA5,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
ANXA6,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
ANXA7,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
ANXA8,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
ANXA9,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
C1QB,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
C1QC,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
C1QL2,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
C1QL3,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
C1QTNF1,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
C1QTNF4,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
C1QTNF6,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
C1QTNF7,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
CLEC10A,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
CLEC12B,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
CLEC14A,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
CLEC17A,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
CLEC18A,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
CLEC3B,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
CLEC4E,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
CLEC6A,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
CSPG4,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
ELFN2,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
