"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","weight","p_adj"
"AD_overall_vs_Control",0.790865603655978,0.207633810838321,Inf,0.383910812440065,1.19782039487189,3.80894421993633,0.000139561434533558,"Astrocytes3","Parenchyma",0.533333333333333,0.00027332957581325
"Disease_effect",0.708178045475741,0.237989672583209,Inf,0.241726858520172,1.17462923243131,2.97566712785883,0.00292352002415633,"Astrocytes4","Parenchyma",0.533333333333333,0.00407520973064216
"Amyloid_effect",0.153920272184802,0.150618334878368,Inf,-0.141286239588193,0.449126783957796,1.021922545546,0.306817560778259,"Astrocytes4","Parenchyma",0.533333333333333,0.554204214261548
"AD_overall_vs_Control",0.790268857307635,0.222942802956851,Inf,0.353308992899798,1.22722872171547,3.54471571553977,0.000393036745908259,"Astrocytes4","Parenchyma",0.533333333333333,0.000623437596957928
"Disease_effect",0.94096221187003,0.275282540674567,Inf,0.401418346575196,1.48050607716486,3.41816887320295,0.000630439774372411,"Astrocytes5","Parenchyma",0.533333333333333,0.000966674320704364
"Amyloid_effect",-0.478769660908221,0.20359956688934,Inf,-0.87781747927928,-0.0797218425371612,-2.35152593015309,0.018696586441584,"Astrocytes5","Parenchyma",0.533333333333333,0.0860042976312866
"AD_overall_vs_Control",0.685618392718979,0.263522229487004,Inf,0.169124313798751,1.20211247163921,2.60174784515775,0.00927500194248904,"Astrocytes5","Parenchyma",0.533333333333333,0.0115310834960675
"Disease_effect",0.578589153211625,0.2333634535299,Inf,0.121205188985134,1.03597311743812,2.47934774901457,0.0131622909627985,"Endothelial","Parenchyma",0.533333333333333,0.0168184828969092
"Amyloid_effect",0.10021703865599,0.154010112860274,Inf,-0.201637235805097,0.402071313117077,0.650717260021178,0.51522901931363,"Endothelial","Parenchyma",0.533333333333333,0.671089665373926
"AD_overall_vs_Control",0.63203824049482,0.2258884931876,Inf,0.189304929325102,1.07477155166454,2.79800990115027,0.00514185364288435,"Endothelial","Parenchyma",0.533333333333333,0.00675786478779086
"Disease_effect",0.574401444329888,0.279903645322229,Inf,0.0258003803568473,1.12300250830293,2.05213992003795,0.0401560662987435,"ExNeuron1","Parenchyma",0.533333333333333,0.0450531475546878
"Amyloid_effect",0.284377764083646,0.193329624368,Inf,-0.0945413368222919,0.663296864989584,1.47094768850498,0.141305264440679,"ExNeuron1","Parenchyma",0.533333333333333,0.342107482330064
"AD_overall_vs_Control",0.7260695851745,0.259398351797962,Inf,0.217658158001443,1.23448101234756,2.79905242320126,0.00512528157319611,"ExNeuron1","Parenchyma",0.533333333333333,0.00675786478779086
"Disease_effect",0.847081434937409,0.201235814697172,Inf,0.452666485731376,1.24149638414344,4.20939700128496,2.56053134412724e-05,"ExNeuron10","Parenchyma",0.533333333333333,7.96453314556601e-05
"Amyloid_effect",-0.292117485839527,0.14391649884899,Inf,-0.574188640364647,-0.0100463313144069,-2.02977065295372,0.0423798573362401,"ExNeuron10","Parenchyma",0.533333333333333,0.162456119788921
"AD_overall_vs_Control",0.691285442489661,0.190307049933559,Inf,0.31829047861582,1.0642804063635,3.63247416599126,0.000280716687373955,"ExNeuron10","Parenchyma",0.533333333333333,0.000461177414971498
"Disease_effect",0.683931246042613,0.181299473295797,Inf,0.328590807966769,1.03927168411846,3.77238407596889,0.000161695097947811,"ExNeuron11","Parenchyma",0.533333333333333,0.000315280475533539
"Amyloid_effect",0.108506555739299,0.120402889524241,Inf,-0.127478771362768,0.344491882841366,0.90119561223199,0.36748432349242,"ExNeuron11","Parenchyma",0.533333333333333,0.603724245737548
"AD_overall_vs_Control",0.741801409103572,0.168598442535094,Inf,0.411354533885242,1.0722482843219,4.39981175359413,1.08344823666418e-05,"ExNeuron11","Parenchyma",0.533333333333333,4.15321824054603e-05
"Disease_effect",0.722169223696994,0.192283131237937,Inf,0.345301211636049,1.09903723575794,3.75575963969174,0.000172816493282652,"ExNeuron12","Parenchyma",0.533333333333333,0.000315280475533539
"Amyloid_effect",0.0691746165397495,0.116195625134643,Inf,-0.158564623885268,0.296913856964767,0.595328924471921,0.551623625175816,"ExNeuron12","Parenchyma",0.533333333333333,0.671089665373926
"AD_overall_vs_Control",0.759062352518194,0.180891681389904,Inf,0.404521171891088,1.1136035331453,4.1962258666946,2.71399599369813e-05,"ExNeuron12","Parenchyma",0.533333333333333,7.80273848188213e-05
"Disease_effect",0.849338810445626,0.190765286358441,Inf,0.475445719682612,1.22323190120864,4.4522713050096,8.49667148630622e-06,"ExNeuron13","Parenchyma",0.533333333333333,3.90846888370086e-05
"Amyloid_effect",-0.0883201271170478,0.124455728075803,Inf,-0.332248871815333,0.155608617581237,-0.709650961691806,0.477920608831806,"ExNeuron13","Parenchyma",0.533333333333333,0.671089665373926
"AD_overall_vs_Control",0.802234742649868,0.180408829954829,Inf,0.448639933445392,1.15582955185434,4.44675985566079,8.71751981622046e-06,"ExNeuron13","Parenchyma",0.533333333333333,3.76461303386735e-05
"Disease_effect",0.795373715003938,0.200082602372463,Inf,0.403219020420862,1.18752840958701,3.97522675921274,7.0312229536644e-05,"ExNeuron14","Parenchyma",0.533333333333333,0.000179686808815868
"Amyloid_effect",0.0260530859822066,0.122902031549506,Inf,-0.214830469481631,0.266936641446044,0.211982549464303,0.832120648460885,"ExNeuron14","Parenchyma",0.533333333333333,0.869944314300016
"AD_overall_vs_Control",0.809268694194448,0.188664138407971,Inf,0.439493777740545,1.17904361064835,4.28946752161489,1.79102001044919e-05,"ExNeuron14","Parenchyma",0.533333333333333,6.33745542158943e-05
"Disease_effect",0.804901333055923,0.201403220308102,Inf,0.410158274881657,1.19964439123019,3.99646704667682,6.42948268929765e-05,"ExNeuron2","Parenchyma",0.533333333333333,0.000173974237475113
"Amyloid_effect",-0.146110642424781,0.13723544716312,Inf,-0.415087176266745,0.122865891417183,-1.06467130355259,0.287024700400468,"ExNeuron2","Parenchyma",0.533333333333333,0.550130675767563
"AD_overall_vs_Control",0.72697565709604,0.188997079990959,Inf,0.356548187130525,1.09740312706156,3.8464914755869,0.000119821297540593,"ExNeuron2","Parenchyma",0.533333333333333,0.000260084593437855
"Disease_effect",0.360290192121618,0.310916160648805,Inf,-0.24909428496151,0.969674669204745,1.15880175340446,0.246537002641549,"ExNeuron3","Parenchyma",0.533333333333333,0.253465259387909
"Amyloid_effect",0.427089327987062,0.231784484047721,Inf,-0.02719991292167,0.881378568895794,1.8426139684964,0.0653853929854361,"ExNeuron3","Parenchyma",0.533333333333333,0.200515205155337
"AD_overall_vs_Control",0.588071167048051,0.28824753976357,Inf,0.023116370479176,1.15302596361693,2.04016023009392,0.0413343693947,"ExNeuron3","Parenchyma",0.533333333333333,0.0442181626082837
"Disease_effect",0.34765272478471,0.300911946948767,Inf,-0.2421238537527,0.93742930332212,1.15533041579071,0.24795514505339,"ExNeuron4","Parenchyma",0.533333333333333,0.253465259387909
