"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","p_adj"
"AD_Amyloid_vs_Control",0.750960971575897,0.266212903697221,Inf,0.229193268109514,1.27272867504228,2.82090372459934,0.00478885725777619,"ExNeuron1","Parenchyma",0.00688398230805328
"AD_Amyloid_vs_Control",0.556802648064822,0.202679513599504,Inf,0.159558101005697,0.954047195123946,2.74720734314109,0.00601051233353431,"ExNeuron10","Parenchyma",0.00837828991947207
"AD_Amyloid_vs_Control",0.749446339877899,0.196200712749102,Inf,0.364900009148571,1.13399267060723,3.81979417595836,0.000133563079783075,"ExNeuron11","Parenchyma",0.000393831339949295
"AD_Amyloid_vs_Control",0.830696119988775,0.170165008814493,Inf,0.497178831283428,1.16421340869412,4.8817093818293,1.05170173637679e-06,"ExNeuron12","Parenchyma",2.2201376951449e-05
"AD_Amyloid_vs_Control",0.807840386767575,0.181982582517002,Inf,0.451161079220662,1.16451969431449,4.43910826846355,9.03323689189328e-06,"ExNeuron13","Parenchyma",5.19411121283863e-05
"AD_Amyloid_vs_Control",0.875036571360626,0.181607170659556,Inf,0.519093057533676,1.23098008518758,4.81829306729844,1.44791588813798e-06,"ExNeuron14","Parenchyma",2.2201376951449e-05
"AD_Amyloid_vs_Control",0.642834816037124,0.207700990695511,Inf,0.235748354720633,1.04992127735361,3.09500120285664,0.00196812098926049,"ExNeuron2","Parenchyma",0.00312184708641318
"AD_Amyloid_vs_Control",0.661838966690702,0.289326411190617,Inf,0.0947696209808665,1.22890831240054,2.28751659403352,0.0221656879896373,"ExNeuron3","Parenchyma",0.0261441448082902
"AD_Amyloid_vs_Control",0.597867630262191,0.280179192470783,Inf,0.0487265038019407,1.14700875672244,2.13387591344613,0.0328529396393119,"ExNeuron4","Parenchyma",0.0367801978579708
"AD_Amyloid_vs_Control",0.785849544763635,0.197129393548258,Inf,0.399483033114827,1.17221605641244,3.9864655930738,6.70648479183581e-05,"ExNeuron5","Parenchyma",0.000257081917020373
"AD_Amyloid_vs_Control",0.863990967967597,0.257086970732425,Inf,0.360109764437541,1.36787217149765,3.36069527563431,0.000777465499953746,"ExNeuron6","Parenchyma",0.00129639078065539
"AD_Amyloid_vs_Control",0.73325103275285,0.249135854206063,Inf,0.244953731251345,1.22154833425436,2.94317746873306,0.00324862131422614,"ExNeuron7","Parenchyma",0.00482053485336782
"AD_Amyloid_vs_Control",0.76903206163765,0.201900046650006,Inf,0.373315241726681,1.16474888154862,3.80897416517574,0.000139544535621879,"ExNeuron8","Parenchyma",0.000393831339949295
"AD_Amyloid_vs_Control",0.620609443219458,0.251598021597089,Inf,0.127486382307633,1.11373250413128,2.46667060130269,0.0136375747022742,"ExNeuron9","Parenchyma",0.0174257898973503
