"celltype","region","contrast","type","log2_OR","odds.ratio","SE","p.value","p_adj","estimate"
"ExNeuron1","Parenchyma","Amyloid_effect","Amyloid",0.384459744991274,1.30537086518153,0.260572425531377,0.181875814590199,0.363751629180398,NA
"ExNeuron10","Parenchyma","Amyloid_effect","Amyloid",-0.485607384534946,0.714196325002153,0.102422907292706,0.0189202688656859,0.087033236782155,NA
"ExNeuron11","Parenchyma","Amyloid_effect","Amyloid",0.13735393347097,1.09988594902485,0.115676693876817,0.365333162895249,0.61924719576674,NA
"ExNeuron12","Parenchyma","Amyloid_effect","Amyloid",0.0688172387579308,1.04885644956243,0.125252621130251,0.689568767384104,0.79300408249172,NA
"ExNeuron13","Parenchyma","Amyloid_effect","Amyloid",-0.126314085406861,0.916169166142012,0.115203260792266,0.486249257661557,0.646399101662122,NA
"ExNeuron14","Parenchyma","Amyloid_effect","Amyloid",0.0206667063116265,1.01442816471048,0.126773180671199,0.908740000734571,0.928934222973117,NA
"ExNeuron2","Parenchyma","Amyloid_effect","Amyloid",-0.279346523994452,0.823964151478779,0.117534418581582,0.174650037387276,0.363751629180398,NA
"ExNeuron3","Parenchyma","Amyloid_effect","Amyloid",0.640624403025053,1.5590037551352,0.358733165163829,0.0536358818147263,0.18226589330792,NA
"ExNeuron4","Parenchyma","Amyloid_effect","Amyloid",0.532929135182992,1.44686381453892,0.308676794615196,0.0833653940888876,0.239675508005552,NA
"ExNeuron5","Parenchyma","Amyloid_effect","Amyloid",-0.019964810189709,0.986256760696545,0.107764818768993,0.899217780674934,0.928934222973117,NA
"ExNeuron6","Parenchyma","Amyloid_effect","Amyloid",0.493622373820489,1.40797564031702,0.25557130555237,0.0594345304264956,0.18226589330792,NA
"ExNeuron7","Parenchyma","Amyloid_effect","Amyloid",0.182435499194715,1.13479798907752,0.208755790484369,0.491825403438571,0.646399101662122,NA
"ExNeuron8","Parenchyma","Amyloid_effect","Amyloid",0.150212554759077,1.10973295890301,0.151362918276389,0.44524737982306,0.640043108495649,NA
"ExNeuron9","Parenchyma","Amyloid_effect","Amyloid",0.121337009984419,1.08774245511982,0.210152937035034,0.663329627824462,0.782388791792955,NA
"Fibroblast","Parenchyma","Amyloid_effect","Amyloid",0.134865894433364,1.09799074542834,0.0736638893834473,0.16350291319404,0.358149238425041,NA
"InhNeuron1","Parenchyma","Amyloid_effect","Amyloid",0.252389048975269,1.19117802889237,0.147687386181986,0.158242482975757,0.358149238425041,NA
"InhNeuron2","Parenchyma","Amyloid_effect","Amyloid",0.00752881132777111,1.00523221482153,0.112702965317545,0.962875022843455,0.962875022843455,NA
"InhNeuron3","Parenchyma","Amyloid_effect","Amyloid",-0.130637656354361,0.913427635384609,0.11855349173505,0.485379986086584,0.646399101662122,NA
"InhNeuron4","Parenchyma","Amyloid_effect","Amyloid",0.0951680003682872,1.06818979041887,0.130263413183216,0.58855471044368,0.712460965273929,NA
"InhNeuron5","Parenchyma","Amyloid_effect","Amyloid",0.0914741457732864,1.06545831172197,0.110777979876272,0.541976232181534,0.692525185565294,NA
"Microglia1","Parenchyma","Amyloid_effect","Amyloid",-0.315640097003027,0.803494416092339,0.10489114588191,0.0937475298031517,0.253669786526175,NA
"Microglia2","Parenchyma","Amyloid_effect","Amyloid",0.0628730019138857,1.04454380933298,0.167298671250774,0.785547401562097,0.881345865167231,NA
"Microglia3","Parenchyma","Amyloid_effect","Amyloid",0.420690465700605,1.33856803261173,0.12245115672616,0.00143452035322607,0.0109979893747332,NA
"Microglia4","Parenchyma","Amyloid_effect","Amyloid",-0.867261117189451,0.548186567578478,0.0793262636839622,3.26436779582447e-05,0.000750804593039628,NA
"Microglia5","Parenchyma","Amyloid_effect","Amyloid",-0.188141794282586,0.877735525741956,0.147075148372232,0.436404751741789,0.640043108495649,NA
"Oligodendrocytes1","Parenchyma","Amyloid_effect","Amyloid",-1.13365898868163,0.455758355661398,0.0934658542386389,0.000127269726357585,0.00195146913748297,NA
"Oligodendrocytes2","Parenchyma","Amyloid_effect","Amyloid",-0.472884554666005,0.720522528762824,0.163068764243923,0.147534245184348,0.357188172551579,NA
"Oligodendrocytes3","Parenchyma","Amyloid_effect","Amyloid",-0.142665901809993,0.905843733313765,0.116043756184357,0.440156694555842,0.640043108495649,NA
"Oligodendrocytes4","Parenchyma","Amyloid_effect","Amyloid",-0.429490385810598,0.74252402642875,0.117048314088039,0.0589546198943339,0.18226589330792,NA
"Oligodendrocytes5","Parenchyma","Amyloid_effect","Amyloid",-0.18221126869568,0.881351083138845,0.192670356555553,0.563437605387173,0.700489995886756,NA
"Oligodendrocytes6","Parenchyma","Amyloid_effect","Amyloid",-0.85135322464972,0.554264600888272,0.099496495255547,0.00101138693387932,0.0106386563131193,NA
"Oligodendrocytes7","Parenchyma","Amyloid_effect","Amyloid",-0.608492598846352,0.655881642534492,0.141880919464971,0.0512041497178356,0.18226589330792,NA
"Oligodendrocytes8","Parenchyma","Amyloid_effect","Amyloid",-0.169834938542314,0.888944381150047,0.118437818946479,0.376933075684102,0.61924719576674,NA
"OPC1","Parenchyma","Amyloid_effect","Amyloid",-0.629089760262324,0.646584236113804,0.0940276551123613,0.00271290453302882,0.0178276583599037,NA
"OPC2","Parenchyma","Amyloid_effect","Amyloid",-0.634641433644982,0.644100879217551,0.0621017390938017,5.05452205581114e-06,0.000232508014567313,NA
"OPC3","Parenchyma","Amyloid_effect","Amyloid",-0.482440535371248,0.71576577396071,0.0979709400087807,0.01456132480182,0.0744245489870801,NA
"Pericytes","Parenchyma","Amyloid_effect","Amyloid",-0.0424528773415401,0.971002639623263,0.126386994421099,0.821143866985643,0.893682850957129,NA
"SMC","Parenchyma","Amyloid_effect","Amyloid",0.226239198694025,1.16978159764675,0.14585682730519,0.208506268906053,0.399637015403268,NA
"VLMC1","Parenchyma","Amyloid_effect","Amyloid",-0.178983443995046,0.883325188240701,0.114739923681835,0.33953209484693,0.61924719576674,NA
"VLMC2","Parenchyma","Amyloid_effect","Amyloid",-0.476932463759329,0.718503722479662,0.0843404363471412,0.0048583604488365,0.0279355725808099,NA
"Astrocytes1","Arteries","Disease_effect","Disease",0.660379167298479,1.58049795363303,0.432536721035392,0.0944078216415174,0.114283152513416,NA
"Astrocytes2","Arteries","Disease_effect","Disease",0.523133010510134,1.43707266258677,0.367124685871592,0.155784407834555,0.174782506350964,NA
"Astrocytes3","Arteries","Disease_effect","Disease",1.40915862850568,2.65582231608092,0.605517539192421,1.83496381695858e-05,4.44254397789972e-05,NA
"Astrocytes4","Arteries","Disease_effect","Disease",0.607473528353343,1.52358873731711,0.341823533757634,0.0605451443682582,0.0773632400261077,NA
"Astrocytes5","Arteries","Disease_effect","Disease",0.893678191648538,1.85790687654486,0.504426152801851,0.0225149971802446,0.0323653084466017,NA
"Endothelial","Arteries","Disease_effect","Disease",0.709168977917911,1.63486213155257,0.528272532401862,0.128199130279779,0.147428999821745,NA
"ExNeuron1","Arteries","Disease_effect","Disease",0.392167305369714,1.31236343694033,0.345754331364735,0.30217938421638,0.323261666836127,NA
"ExNeuron10","Arteries","Disease_effect","Disease",1.41138566347284,2.65992517664973,0.567209604644236,4.48110770095243e-06,1.47236395888437e-05,NA
"ExNeuron11","Arteries","Disease_effect","Disease",1.05091982373645,2.07185038300883,0.3251223015586,3.45025392935668e-06,1.22085908269544e-05,NA
"ExNeuron12","Arteries","Disease_effect","Disease",0.762533644306822,1.69646732638836,0.362149985826049,0.0132882975016585,0.0197181188734288,NA
"ExNeuron13","Arteries","Disease_effect","Disease",0.869408480656488,1.82691369405812,0.377752215913156,0.00356287271484787,0.00585329088867864,NA
"ExNeuron14","Arteries","Disease_effect","Disease",0.840545031019846,1.7907265267748,0.299250587110264,0.000489517116183893,0.000900711493778362,NA
"ExNeuron2","Arteries","Disease_effect","Disease",1.4367803025556,2.70716027313508,0.504946402517092,9.33049414726772e-08,8.5840546154863e-07,NA
"ExNeuron3","Arteries","Disease_effect","Disease",0.11144536511306,1.08031000392009,0.316473390574943,0.792016457543379,0.792016457543379,NA
"ExNeuron4","Arteries","Disease_effect","Disease",0.111153700908975,1.08009162380467,0.30916624243177,0.787803031333283,0.792016457543379,NA
"ExNeuron5","Arteries","Disease_effect","Disease",1.16402690251188,2.24082021347019,0.354150452732661,3.30548995831934e-07,2.53420896804483e-06,NA
"ExNeuron6","Arteries","Disease_effect","Disease",0.247480348464115,1.18713199005109,0.313001558285634,0.515300252313608,0.538722991055136,NA
"ExNeuron7","Arteries","Disease_effect","Disease",0.583867567026528,1.49886200658979,0.333669138394402,0.0690695425358819,0.085870242071637,NA
"ExNeuron8","Arteries","Disease_effect","Disease",0.614201416946759,1.53071045982475,0.336918805376113,0.053087067879219,0.0718236800718846,NA
"ExNeuron9","Arteries","Disease_effect","Disease",0.650524935818803,1.56973925373967,0.324915675509863,0.0293730480146276,0.0409442487476627,NA
"Fibroblast","Arteries","Disease_effect","Disease",-2.16933054741553,0.222313806452107,0.0268948661990246,1.81112444159508e-35,8.33117243133736e-34,NA
"InhNeuron1","Arteries","Disease_effect","Disease",1.13982160557219,2.20353773954378,0.365821797649822,1.94580263522215e-06,7.45891010168492e-06,NA
"InhNeuron2","Arteries","Disease_effect","Disease",1.11248999302211,2.16218503803404,0.38553721815737,1.52793839746991e-05,3.90473146020089e-05,NA
"InhNeuron3","Arteries","Disease_effect","Disease",1.055672479609,2.07868691361943,0.303861273504472,5.56474926481759e-07,2.88408123073033e-06,NA
"InhNeuron4","Arteries","Disease_effect","Disease",1.06195695455384,2.08776156172808,0.344483434287573,8.15284140406923e-06,2.5002046972479e-05,NA
"InhNeuron5","Arteries","Disease_effect","Disease",0.916596954892863,1.88765741057298,0.301749292766313,7.05319093535795e-05,0.000147475810466575,NA
"Microglia1","Arteries","Disease_effect","Disease",1.49162095641014,2.81204748510227,0.594683127552739,1.01344087179667e-06,4.23802546387697e-06,NA
"Microglia2","Arteries","Disease_effect","Disease",1.00816633255843,2.01135304224302,0.355884467725499,7.83300660512017e-05,0.000156660132102403,NA
"Microglia3","Arteries","Disease_effect","Disease",0.751740411815468,1.68382290495696,0.31267566442693,0.00501526230115736,0.00769006886177462,NA
"Microglia4","Arteries","Disease_effect","Disease",1.57351206475587,2.97628372837654,0.732182481978805,9.26987239365021e-06,2.66508831317443e-05,NA
"Microglia5","Arteries","Disease_effect","Disease",1.73069492333303,3.31887644847505,0.795795439544075,5.64276762534194e-07,2.88408123073033e-06,NA
