"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value","celltype","region","p_adj"
"Disease_effect",1.53071045982475,0.336918805376113,Inf,0.994347862738448,2.35639316945284,1,1.93421199755583,0.053087067879219,"ExNeuron8","Arteries",0.0718236800718846
"Disease_effect",1.56973925373967,0.324915675509863,Inf,1.04626051109024,2.35513172733959,1,2.17844331578416,0.0293730480146276,"ExNeuron9","Arteries",0.0409442487476627
"Disease_effect",0.222313806452107,0.0268948661990246,Inf,0.175384250759507,0.281800836307679,1,-12.4293449055523,1.81112444159508e-35,"Fibroblast","Arteries",8.33117243133736e-34
"Disease_effect",2.20353773954378,0.365821797649822,Inf,1.59150386315842,3.05093734422835,1,4.75897320291816,1.94580263522215e-06,"InhNeuron1","Arteries",7.45891010168492e-06
"Disease_effect",2.16218503803404,0.38553721815737,Inf,1.52445951871049,3.06668959150374,1,4.32462169393564,1.52793839746991e-05,"InhNeuron2","Arteries",3.90473146020089e-05
"Disease_effect",2.07868691361943,0.303861273504472,Inf,1.56084911822681,2.76832605688461,1,5.00574116356144,5.56474926481759e-07,"InhNeuron3","Arteries",2.88408123073033e-06
"Disease_effect",2.08776156172808,0.344483434287573,Inf,1.51088535200614,2.88489681420353,1,4.46113052047748,8.15284140406923e-06,"InhNeuron4","Arteries",2.5002046972479e-05
"Disease_effect",1.88765741057298,0.301749292766313,Inf,1.37992454267117,2.58220677254829,1,3.97448431694279,7.05319093535795e-05,"InhNeuron5","Arteries",0.000147475810466575
"Disease_effect",2.81204748510227,0.594683127552739,Inf,1.85786080877655,4.25629897628195,1,4.88901050693484,1.01344087179667e-06,"Microglia1","Arteries",4.23802546387697e-06
"Disease_effect",2.01135304224302,0.355884467725499,Inf,1.42193106430255,2.84510350895567,1,3.94945276387214,7.83300660512017e-05,"Microglia2","Arteries",0.000156660132102403
"Disease_effect",1.68382290495696,0.31267566442693,Inf,1.17012825781002,2.42303316438499,1,2.80605184018893,0.00501526230115736,"Microglia3","Arteries",0.00769006886177462
"Disease_effect",2.97628372837654,0.732182481978805,Inf,1.83769730584553,4.82030680657893,1,4.43353901306062,9.26987239365021e-06,"Microglia4","Arteries",2.66508831317443e-05
"Disease_effect",3.31887644847505,0.795795439544075,Inf,2.07439376703886,5.30995660287095,1,5.00305894936232,5.64276762534194e-07,"Microglia5","Arteries",2.88408123073033e-06
"Disease_effect",2.43268551537514,0.687258030204193,Inf,1.39834072284335,4.2321293516237,1,3.14677618117452,0.00165081274877744,"Oligodendrocytes1","Arteries",0.00292066870937548
"Disease_effect",1.95737640823609,0.689546471097288,Inf,0.981323590835316,3.90423957938069,1,1.90644699962388,0.0565922358413314,"Oligodendrocytes2","Arteries",0.0743783671057498
"Disease_effect",2.72373511271708,0.543309201879939,Inf,1.84235746306566,4.02676088271342,1,5.02327929277414,5.07965917235596e-07,"Oligodendrocytes3","Arteries",2.88408123073033e-06
"Disease_effect",3.17159781340725,0.735590050828254,Inf,2.01306856956971,4.99686540342726,1,4.97664533840353,6.4695703671292e-07,"Oligodendrocytes4","Arteries",2.97600236887943e-06
"Disease_effect",2.62866797020077,0.694000850001266,Inf,1.56677993132425,4.41025262030202,1,3.66072717598756,0.000251500448891718,"Oligodendrocytes5","Arteries",0.00048204252704246
"Disease_effect",2.63897601277939,0.891836533544891,Inf,1.36073522103088,5.11796438307006,1,2.87142137730968,0.00408630417954351,"Oligodendrocytes6","Arteries",0.00648172387100005
"Disease_effect",2.3361279227663,0.664548090716166,Inf,1.33770096696238,4.0797560937114,1,2.9827675085085,0.00285654893969069,"Oligodendrocytes7","Arteries",0.00486671300836191
"Disease_effect",2.21302300922268,0.434420704397669,Inf,1.50623736638306,3.25146019389318,1,4.04662057090406,5.19623655521344e-05,"Oligodendrocytes8","Arteries",0.000119513440769909
"Disease_effect",3.33665521972583,0.711024675775592,Inf,2.19747785098431,5.06638465108383,1,5.65460780761048,1.5620253001137e-08,"OPC1","Arteries",1.79632909513075e-07
"Disease_effect",3.41485916985877,0.613472317150224,Inf,2.40135417421919,4.85611963248205,1,6.83635142088826,8.12355267049543e-12,"OPC2","Arteries",1.86841711421395e-10
"Disease_effect",3.41091973764422,0.650212253800983,Inf,2.3475226368897,4.95602183928913,1,6.43657052599811,1.22203068130661e-10,"OPC3","Arteries",1.87378037800347e-09
"Disease_effect",1.30888440093361,0.325382468205847,Inf,0.804075105297636,2.13061984349481,1,1.08278477866835,0.278903963291356,"Pericytes","Arteries",0.30546624550958
"Disease_effect",1.37229501970737,0.26894254722368,Inf,0.934606729526994,2.01495833661153,1,1.61488078348355,0.106336514467362,"SMC","Arteries",0.125422555525606
"Disease_effect",2.39392299256783,0.520489082443663,Inf,1.56329558902198,3.66588848237603,1,4.01494575570826,5.94594682748228e-05,"VLMC1","Arteries",0.000130244549554374
"Disease_effect",2.7164487573557,0.616276563547819,Inf,1.74136867707599,4.23752531470239,1,4.40486701105208,1.05848793952242e-05,"VLMC2","Arteries",2.86414383635479e-05
"Disease_effect",2.55338556644512,0.859045706962175,Inf,1.32051477056903,4.93730020764615,1,2.78634194393335,0.00533066070757019,"Astrocytes1","Capillaries",0.0272455991720254
"Disease_effect",2.24687611126859,0.768993734822191,Inf,1.14882863650223,4.39443455619297,1,2.36534828467954,0.0180131220044506,"Astrocytes2","Capillaries",0.0517877257627956
"Disease_effect",2.05074714596463,0.593021842866159,Inf,1.16350201414244,3.61457376572036,1,2.48364407969423,0.0130045714476562,"Astrocytes3","Capillaries",0.040260585798945
"Disease_effect",2.23816434796516,0.539061901795196,Inf,1.3959828238528,3.5884249884084,1,3.34505299816288,0.000822668488002355,"Astrocytes4","Capillaries",0.0101764464459665
"Disease_effect",1.83338413706991,0.675595208306206,Inf,0.890407643146636,3.77500959243902,1,1.64496514769939,0.099976998582244,"Astrocytes5","Capillaries",0.148352965638169
"Disease_effect",1.33963405494189,0.362728470388905,Inf,0.787968820752059,2.27752590444788,1,1.07988293890011,0.280194311599651,"Endothelial","Capillaries",0.314364349599609
"Disease_effect",2.19905200082889,0.694644146194485,Inf,1.18400902806587,4.08428448408802,1,2.49467436021685,0.0126072769867022,"ExNeuron1","Capillaries",0.040260585798945
"Disease_effect",1.3251109514348,0.333513618319757,Inf,0.809124984561489,2.17014561052525,1,1.11843615211582,0.263380761239653,"ExNeuron10","Capillaries",0.302887875425601
"Disease_effect",1.55144386003505,0.552270606256105,Inf,0.772204150208719,3.11702294035827,1,1.23376556044286,0.21729027608825,"ExNeuron11","Capillaries",0.277648686112764
"Disease_effect",1.98597903479641,0.486107453545619,Inf,1.22921069382338,3.20865474606552,1,2.8030923113734,0.00506151797987671,"ExNeuron12","Capillaries",0.0272455991720254
