"region","celltype_1","celltype_2","r","p.value","p_adj","n"
"Parenchyma","ExNeuron12","Oligodendrocytes5",-0.73754854632472,0.26245145367528,0.826123724439241,4
"Parenchyma","ExNeuron12","Oligodendrocytes6",-0.936740145310983,0.0632598546890165,0.738468404773767,4
"Parenchyma","ExNeuron12","Oligodendrocytes7",-0.87584097893326,0.12415902106674,0.760382170438316,4
"Parenchyma","ExNeuron12","Oligodendrocytes8",-0.0107243561812408,0.989275643818759,0.997062864496247,4
"Parenchyma","ExNeuron12","OPC1",0.456860459060509,0.543139540939491,0.888071761251775,4
"Parenchyma","ExNeuron12","OPC2",-0.271154190667884,0.728845809332116,0.942944265823425,4
"Parenchyma","ExNeuron12","OPC3",0.17512859999454,0.82487140000546,0.961574292989214,4
"Parenchyma","ExNeuron12","Pericytes",-0.590282781022577,0.409717218977423,0.852432039073204,4
"Parenchyma","ExNeuron12","SMC",-0.550479172999777,0.449520827000223,0.856576141536058,4
"Parenchyma","ExNeuron12","VLMC1",-0.184385421349093,0.815614578650907,0.961574292989214,4
"Parenchyma","ExNeuron12","VLMC2",-0.337588376623487,0.662411623376513,0.928101469378433,4
"Parenchyma","ExNeuron13","ExNeuron14",0.458033853127933,0.541966146872067,0.887783810767886,4
"Parenchyma","ExNeuron13","ExNeuron2",0.219737453893853,0.780262546106147,0.953449510294996,4
"Parenchyma","ExNeuron13","ExNeuron3",-0.41511099349856,0.58488900650144,0.915662867185568,4
"Parenchyma","ExNeuron13","ExNeuron4",-0.590311992761738,0.409688007238262,0.852432039073204,4
"Parenchyma","ExNeuron13","ExNeuron5",0.854754114391515,0.145245885608485,0.78442539920821,4
"Parenchyma","ExNeuron13","ExNeuron6",0.964970032251726,0.0350299677482743,0.711437672114937,4
"Parenchyma","ExNeuron13","ExNeuron7",-0.312050599212839,0.687949400787161,0.929747555138288,4
"Parenchyma","ExNeuron13","ExNeuron8",0.381906415055535,0.618093584944465,0.92432711063372,4
"Parenchyma","ExNeuron13","ExNeuron9",0.0510979235619661,0.948902076438034,0.991903194794928,4
"Parenchyma","ExNeuron13","Fibroblast",0.466092176968704,0.533907823031296,0.885049615384013,4
"Parenchyma","ExNeuron13","InhNeuron1",0.964957086681667,0.0350429133183332,0.711437672114937,4
"Parenchyma","ExNeuron13","InhNeuron2",0.939293709363001,0.060706290636999,0.738468404773767,4
"Parenchyma","ExNeuron13","InhNeuron3",0.674934077956375,0.325065922043625,0.830177098692426,4
"Parenchyma","ExNeuron13","InhNeuron4",0.96563667001326,0.0343633299867401,0.711437672114937,4
"Parenchyma","ExNeuron13","InhNeuron5",0.780512373445657,0.219487626554343,0.826123724439241,4
"Parenchyma","ExNeuron13","Microglia1",-0.341664817991428,0.658335182008572,0.928101469378433,4
"Parenchyma","ExNeuron13","Microglia2",0.195655514880698,0.804344485119302,0.959006064769924,4
"Parenchyma","ExNeuron13","Microglia3",0.29321467075503,0.70678532924497,0.938724475201013,4
"Parenchyma","ExNeuron13","Microglia4",-0.846797340564981,0.153202659435019,0.784974022352696,4
"Parenchyma","ExNeuron13","Microglia5",-0.72222928129339,0.27777071870661,0.826123724439241,4
"Parenchyma","ExNeuron13","Oligodendrocytes1",-0.944775219587891,0.055224780412109,0.738468404773767,4
"Parenchyma","ExNeuron13","Oligodendrocytes2",0.805132307689422,0.194867692310578,0.814210005134212,4
"Parenchyma","ExNeuron13","Oligodendrocytes3",-0.64416537444764,0.35583462555236,0.852432039073204,4
"Parenchyma","ExNeuron13","Oligodendrocytes4",-0.90683508626333,0.0931649137366699,0.743585953843347,4
"Parenchyma","ExNeuron13","Oligodendrocytes5",-0.733085545833353,0.266914454166647,0.826123724439241,4
"Parenchyma","ExNeuron13","Oligodendrocytes6",-0.762911683836241,0.237088316163759,0.826123724439241,4
"Parenchyma","ExNeuron13","Oligodendrocytes7",-0.936770249155534,0.0632297508444663,0.738468404773767,4
"Parenchyma","ExNeuron13","Oligodendrocytes8",-0.325009767542739,0.674990232457261,0.928101469378433,4
"Parenchyma","ExNeuron13","OPC1",-0.248904852857238,0.751095147142762,0.948028630844828,4
"Parenchyma","ExNeuron13","OPC2",-0.84154168282901,0.15845831717099,0.794426112542788,4
"Parenchyma","ExNeuron13","OPC3",0.0277796511211749,0.972220348878825,0.99333668360057,4
"Parenchyma","ExNeuron13","Pericytes",0.0912972991116998,0.9087027008883,0.979103145738918,4
"Parenchyma","ExNeuron13","SMC",0.127663718388318,0.872336281611682,0.967434460935356,4
"Parenchyma","ExNeuron13","VLMC1",0.447019525454535,0.552980474545465,0.8945266264485,4
"Parenchyma","ExNeuron13","VLMC2",-0.876343233919361,0.123656766080639,0.760382170438316,4
"Parenchyma","ExNeuron14","ExNeuron2",-0.522523619428102,0.477476380571897,0.870049390654778,4
"Parenchyma","ExNeuron14","ExNeuron3",0.607204172054826,0.392795827945174,0.852432039073204,4
"Parenchyma","ExNeuron14","ExNeuron4",0.445963384692131,0.554036615307869,0.894583302408182,4
"Parenchyma","ExNeuron14","ExNeuron5",-0.0255158923989665,0.974484107601034,0.99333668360057,4
"Parenchyma","ExNeuron14","ExNeuron6",0.398776099109341,0.601223900890659,0.917464102640085,4
"Parenchyma","ExNeuron14","ExNeuron7",0.611555544527328,0.388444455472672,0.852432039073204,4
"Parenchyma","ExNeuron14","ExNeuron8",0.958568594620493,0.0414314053795073,0.720838068430803,4
"Parenchyma","ExNeuron14","ExNeuron9",0.904228767929879,0.095771232070121,0.743585953843347,4
"Parenchyma","ExNeuron14","Fibroblast",-0.52827468431125,0.47172531568875,0.865055095362587,4
"Parenchyma","ExNeuron14","InhNeuron1",0.264774779864045,0.735225220135955,0.946090882810535,4
"Parenchyma","ExNeuron14","InhNeuron2",0.165484948636081,0.834515051363919,0.962901982342983,4
"Parenchyma","ExNeuron14","InhNeuron3",0.926389140554243,0.0736108594457572,0.740378053100563,4
"Parenchyma","ExNeuron14","InhNeuron4",0.659733587254559,0.340266412745441,0.850297051184037,4
"Parenchyma","ExNeuron14","InhNeuron5",-0.184743282950454,0.815256717049546,0.961574292989214,4
"Parenchyma","ExNeuron14","Microglia1",-0.889032062979294,0.110967937020706,0.743585953843347,4
"Parenchyma","ExNeuron14","Microglia2",-0.405398468503598,0.594601531496402,0.917170264560365,4
"Parenchyma","ExNeuron14","Microglia3",-0.683493356744452,0.316506643255548,0.826652594676511,4
"Parenchyma","ExNeuron14","Microglia4",-0.611013114776009,0.388986885223991,0.852432039073204,4
"Parenchyma","ExNeuron14","Microglia5",-0.945201668439092,0.0547983315609083,0.738468404773767,4
"Parenchyma","ExNeuron14","Oligodendrocytes1",-0.205658175858474,0.794341824141526,0.958842045713739,4
"Parenchyma","ExNeuron14","Oligodendrocytes2",-0.0733037732901925,0.926696226709808,0.985898291962383,4
"Parenchyma","ExNeuron14","Oligodendrocytes3",-0.923743644027547,0.0762563559724526,0.740378053100563,4
"Parenchyma","ExNeuron14","Oligodendrocytes4",-0.680636059528163,0.319363940471837,0.826652594676511,4
"Parenchyma","ExNeuron14","Oligodendrocytes5",-0.689854503755912,0.310145496244088,0.826628541225427,4
"Parenchyma","ExNeuron14","Oligodendrocytes6",-0.773458614199812,0.226541385800187,0.826123724439241,4
"Parenchyma","ExNeuron14","Oligodendrocytes7",-0.620804194531673,0.379195805468327,0.852432039073204,4
"Parenchyma","ExNeuron14","Oligodendrocytes8",0.305586102008356,0.694413897991643,0.934114009992912,4
"Parenchyma","ExNeuron14","OPC1",0.723468856173088,0.276531143826912,0.826123724439241,4
"Parenchyma","ExNeuron14","OPC2",0.077434800687515,0.922565199312485,0.984386578647858,4
"Parenchyma","ExNeuron14","OPC3",0.0500345975240113,0.949965402475989,0.991903194794928,4
"Parenchyma","ExNeuron14","Pericytes",-0.806727344491795,0.193272655508205,0.814210005134212,4
