"contrast1","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","p_adj"
"Arteries - Parenchyma","Amyloid_effect",0.0556938849554671,0.28720096939158,Inf,-0.617419195853644,0.728806965764579,0.193919557700141,0.97948244601657,"Endothelial",0.999974772559645
"Capillaries - Parenchyma","Amyloid_effect",0.113739623998031,0.374914200702835,Inf,-0.764947008602066,0.992426256598128,0.303375075643463,0.950532914947585,"Endothelial",0.999974772559645
"Arteries - Capillaries","Disease_effect",-0.519811963301797,0.399178103018036,Inf,-1.45536591802283,0.415741991419236,-1.30220560539692,0.393910706184992,"ExNeuron1",0.999939298369795
"Arteries - Parenchyma","Disease_effect",-0.305712430034775,0.367248157258858,Inf,-1.16643215210834,0.555007292038789,-0.832441018401873,0.682841077491864,"ExNeuron1",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",0.214099533267022,0.396411369910918,Inf,-0.71497002744429,1.14316909397833,0.540094330077199,0.851526298059132,"ExNeuron1",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",0.380072532042958,0.35208061898697,Inf,-0.445099021665753,1.20524408575167,1.079504271313,0.526807226361594,"ExNeuron1",0.999974772559645
"Arteries - Parenchyma","Amyloid_effect",-0.132503432118805,0.290704523622393,Inf,-0.81382779503842,0.54882093080081,-0.455801067240766,0.891819999634867,"ExNeuron1",0.999974772559645
"Capillaries - Parenchyma","Amyloid_effect",-0.512575964161763,0.327448229691802,Inf,-1.28001657259795,0.254864644274429,-1.56536489644242,0.260753784501681,"ExNeuron1",0.782261353505042
"Arteries - Capillaries","Disease_effect",0.625240001736898,0.318067023001648,Inf,-0.120213867064348,1.37069387053814,1.96574921799944,0.120767714738764,"ExNeuron10",0.999939298369795
"Arteries - Parenchyma","Disease_effect",0.163559282005474,0.285239920128683,Inf,-0.504957686493281,0.83207625050423,0.573409507097345,0.834309664319156,"ExNeuron10",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",-0.461680719731423,0.316360943822719,Inf,-1.20313604975801,0.279774610295159,-1.45934802871918,0.310671142023927,"ExNeuron10",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",-0.742878772226015,0.235532250055517,Inf,-1.29489584515105,-0.190861699300985,-3.15404269288351,0.00458889098315307,"ExNeuron10",0.118999623010807
"Arteries - Parenchyma","Amyloid_effect",0.258705096244606,0.197568550389189,Inf,-0.20433643145351,0.721746623942722,1.3094447255648,0.389854464203071,"ExNeuron10",0.943858176491646
"Capillaries - Parenchyma","Amyloid_effect",1.00158386847062,0.236495823149392,Inf,0.447308468718989,1.55585926822225,4.23510172455743,6.7803915830611e-05,"ExNeuron10",0.00801634047066169
"Arteries - Capillaries","Disease_effect",0.160046424007837,0.291988606709249,Inf,-0.524287445197358,0.844380293213032,0.548125578636721,0.847438182734631,"ExNeuron11",0.999939298369795
"Arteries - Parenchyma","Disease_effect",-0.0109354793365037,0.268295983982324,Inf,-0.639740934727661,0.617869976054654,-0.0407590123944015,0.999084501450006,"ExNeuron11",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",-0.170981903344341,0.29072863707581,Inf,-0.852362780978906,0.510398974290224,-0.588115106458384,0.826500708176457,"ExNeuron11",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",-0.263049408474707,0.217518814621245,Inf,-0.772848382182296,0.246749565232883,-1.20931795685234,0.447604799126531,"ExNeuron11",0.999974772559645
"Arteries - Parenchyma","Amyloid_effect",0.139645677683986,0.18549414686252,Inf,-0.295097063370107,0.57438841873808,0.752830642076731,0.731911097087917,"ExNeuron11",0.999974772559645
"Capillaries - Parenchyma","Amyloid_effect",0.402695086158693,0.213016378269644,Inf,-0.096551524824658,0.901941697142044,1.890441896674,0.141406355328773,"ExNeuron11",0.573943442216784
"Arteries - Capillaries","Disease_effect",-0.242933755506539,0.272048113793432,Inf,-0.880533079741875,0.394665568728797,-0.892980848567839,0.64474248028494,"ExNeuron12",0.999939298369795
"Arteries - Parenchyma","Disease_effect",-0.177720424173664,0.253411432040268,Inf,-0.771640946427562,0.416200098080235,-0.70131178669723,0.762704589643413,"ExNeuron12",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",0.0652133313328755,0.26626754603901,Inf,-0.558838072858012,0.689264735523763,0.244916559689634,0.967473939734727,"ExNeuron12",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",0.0414520765813129,0.200719461741662,Inf,-0.428974243906022,0.511878397068648,0.206517475792478,0.976762482276085,"ExNeuron12",0.999974772559645
